,Institution Names,City,State,Score,Rank
379,andavar college of education,,,,
380,vignan's lara institute of technology & science,,,,
381,vivekanand shikshan sanstha,,,,
382,scan point education & rersearch institute,,,,
383,marudhar mahavidyalaya,,,,
384,rani chandra prabha degree college,,,,
385,shrimati indira mahadev behere college of arts shriman chandulal sheth commerce and shrimati shobhanatai chandulal sheth college of science,,,,
386,lok nayak jai prakash institute of technology,,,,
387,raje dharamrao arts commerce college,,,,
388,aarupadai veedu medical college and hospital,,,,
389,patrasayer mahavidyalaya,,,,
390,c.m. nursing institute,,,,
391,u.n college,,,,
392,govt. maharaja degree college chhatarpur,,,,
393,kavitha memorial college of teacher educaiton,,,,
394,safe institute of nursing college,,,,
395,kharasrota mohavidyalaya,,,,
396,al hasan t t college samastipur,,,,
397,kakatiya university,,,,
398,mannar tirumalai naicker college,,,,
399,nsb college,,,,
400,national minority degree college,,,,
401,chetanas ramprasad khandelwal institute of management and research,,,,
402,c.k.b. commerce college,,,,
403,chauri belha mahavidyalaya,,,,
404,tagore pg girls college,,,,
405,764 shree saraswati education sansthans group of institutions,,,,
406,institute of emerging sciences & technology,,,,
407,govt. ram bhajhan rai n.e.s. p.g. college,,,,
408,kurinji college of engineering and technology,,,,
409,gram samaj mahavidyalaya,,,,
410,kalyan sanskrit mahavidyalaya,,,,
411,saraswati pg college,,,,
412,b244 gurunanak college of education bidar,,,,
413,srinivas institute of medical science and research centre,,,,
414,rohtas mahila college,,,,
415,m. v. s. govt. degree & p.g college,,,,
416,shri joytiba comp. science college,,,,
417,institute of advanced computer and research,,,,
418,international institute for special education,,,,
419,sonamukhi college,,,,
420,mandawa college,,,,
421,marwadi education foundations group of institutions-faculty of technology,,,,
422,sri manakula vinayagar nursing college,,,,
423,siddheswer vinayak arts college dhariyawad,,,,
424,somany institute of tech. & mgt.,,,,
425,b.sc. nursing,,,,
426,jecrc business school,,,,
427,gayathri college of nursing,,,,
428,i.m.s. law college a-8b,,,,
429,gyan veehar college,,,,
430,shadan degree college for men,,,,
431,s.s.r.n.j. mahavidyalaya,,,,
432,a m es dental college & hospital,,,,
433,gian sagar college of nursing,,,,
434,kotpad college,,,,
435,a p n p.g. college,,,,
436,mauli vidyapeeth's saraswati arts college,,,,
437,ranga study centre,,,,
438,late m.k.g.b.p.arts comm college,,,,
439,govt. degree college dooru,,,,
440,vivekanand institute of information technology barwani,,,,
441,nagambika educational & charitable trust's college of education for women gulbarga,,,,
442,bcf college of phsiotheraphy,,,,
443,smt. rukmi devi women teachers training college,,,,
444,raiganj college,,,,
445,732 leelaben dashrathbhai rramdas patel institute of technology & research,,,,
446,garment research training design and development centre,,,,
447,shri vishwanath singh sanskrit pathshala,,,,
448,news degree college,,,,
449,pushpagiri college of management & sciences,,,,
450,jalagam vengal rao,,,,
451,shubham shikshan mahavidhyalaya,,,,
452,s.k.r engineering college,,,,
453,surajmal agarwal private govt.girls degree college,,,,
454,modern college,,,,
455,shri rishikul brahmcharyashram adarsh sanskrit mahavidyalaya,,,,
456,m.p.nachimuthu m.jaganathan engineering college,,,,
457,vedic ashram gurukula mahavidyalaya,,,,
458,g.s. science,,,,
459,pune vidyarthi gruhas college of commerce & science,,,,
460,govt. women's college,,,,
461,bhartiya institute of professional studies ujjain,,,,
462,sses's shri vivekananda bca college,,,,
463,farook institute of management,,,,
464,kherapati sarkar group of college indergarh,,,,
465,p.v.e.s. degree college for women,,,,
466,shree satsangi saket dham,,,,
467,peace institute of social work,,,,
468,madhavdeb college p.o. dikrong-784164,,,,
469,saket physical education college,,,,
470,late sri vasantrao kolhatkar arts college,,,,
471,arayabhat art.& science college kopara,,,,
472,smt. anar devi mahila mahavidyalaya,,,,
473,vittalnath sadasiva patak sanskrit pg college,,,,
