,Institution Names,City,State,Score,Rank
31174,vijeta degree college,,,,
31175,v.k.kamdar b.ed.college -rajkot,,,,
31176,shri govind shikshak prashikshan mahavi.,,,,
31177,indore instt. of poly. pharmacy,,,,
31178,maharani nursing college,,,,
31179,c477 vishwahindi bbm college gulbarga,,,,
31180,dr.k.v.k. sanskrit college,,,,
31181,standard college,,,,
31182,p.r.patil college of management,,,,
31183,maitri college of nursing,,,,
31184,jagatguru shankaracharya arts & commerce college,,,,
31185,sardar patel college of technology,,,,
31186,kanchi shri krishna college of arts and science,,,,
31187,ramgarhia girls college,,,,
31188,c347 mahatma jyotiba phule degree college,,,,
31189,rajasthan swayat shasan mahavidyalaya,,,,
31190,council for analytical tribal studies,,,,
31191,smt. krishna mahavidyalaya,,,,
31192,krishana dental college loni road,,,,
31193,bma arts & commerce college,,,,
31194,vinayaka mission's medical college and hospital,,,,
31195,ssd girls college,,,,
31196,sri. siddi vinayak education mahavidyalaya raiba acchnera,,,,
31197,bh.d.mahavidyalaya,,,,
31198,l.b.s college of engineering,,,,
31199,shivlingeshwar college of pharmacy,,,,
31200,indraprastha college of edu. & technology,,,,
31201,guru nanak institute of engg. & management,,,,
31202,nabajyoti college,,,,
31203,nasima begam mahila mahavidyalay dharmkhor,,,,
31204,amitha b.ed. college,,,,
31205,anna university of technology tiruchirappalli - pattukkottai campus,,,,
31206,saltora b. ed. college,,,,
31207,phule ambedkar social work college,,,,
31208,nirmali college,,,,
31209,shri narayana sangeet mahavidhyalaya,,,,
31210,jivkaran institute of science and technology,,,,
31211,parajanga mohavidyalaya,,,,
31212,pandit deendayal centre for career development and research,,,,
31213,shaheed kartar singh sarabha dental college,,,,
31214,royal school of management & technology,,,,
31215,sree kavita institute of science technology,,,,
31216,college of dental sciences,,,,
31217,haridwar education college,,,,
31218,sinhgad technical education societys smt. kashibai navale college of engineering,,,,
31219,melamora college p.o. melamora-785625,,,,
31220,aspire college of advanced studies,,,,
31221,sri rama krishna institute of technology,,,,
31222,sri nehru maha vidyalaya college of arts and science,,,,
31223,neelkanth education college,,,,
31224,school of business management,,,,
31225,sri sai mahitha degree college,,,,
31226,kasturi shikshan sansthas institute of management,,,,
31227,mata mohani devi bedi t.t. college,,,,
31228,nri institute of information science & technology,,,,
31229,sh. atamanand jain institute of management & technology,,,,
31230,centre for development education & communication,,,,
31231,madhusudan hore mahavidyalaya,,,,
31232,bharatesh college of computer application,,,,
31233,malla reddy institute of technology & sciences,,,,
31234,shri ram institute of tech.,,,,
31235,swaminathan saraswathi college of education for women,,,,
31236,rewa institut of tecnology ratahara,,,,
31237,sri balajai vidyapeeth mahatma gandhi medical college,,,,
31238,c499 gurukul college of management,,,,
31239,al jamia arts & science college,,,,
31240,patherkandi college,,,,
31241,vishwadip s.s.'s vishwakarma college,,,,
31242,international institute of management sciences 178,,,,
31243,the adarsh edu.,,,,
31244,sant kurimakose ilyaas chandra b ed college,,,,
31245,shree bh govt. medical college,,,,
31246,a.j. kalasala,,,,
31247,shaheed sukhdev college of business studies,,,,
31248,k.m.c.h. college of paramedical sciences,,,,
31249,mahavidyalay bhatwali bazar,,,,
31250,kai. bapurao patil arts & science college,,,,
31251,vidya vahini shiksha mahavidyalay,,,,
31252,priyadarshini institute of tecnology,,,,
31253,k.k.parekh comm.. college -amreli,,,,
31254,s.m.s. mahila shikshak prashikshan mahavidyalaya,,,,
31255,institute of computer technology,,,,
31256,st.stephens p.g college,,,,
31257,meghana inst. of dental sciences,,,,
31258,laxmi nursingh sanskrit college,,,,
31259,g.d.c.memorial college,,,,
31260,centre for behavioral and cognitive science,,,,
31261,sri r. ponnusamy naidu college of education,,,,
31262,u. b. d. t college of engineering,,,,
31263,fatama mahavidyalaya,,,,
31264,c491 siddartha msw college gulbarga,,,,
31265,r.p. indraprastha institute of medical sciences,,,,
31266,shivaji college,,,,
31267,kless college of education,,,,
31268,biyani girls college.,,,,
31269,sant dyneshwar shikshanshatra mahila mahavidyalaya,,,,
31270,nalanda medical college and hospital,,,,
31271,b.r. mirdha government college,,,,
31272,jawaharlal nehru enterpreneurs,,,,
31273,govt. college of art and crafts,,,,
31274,saithanibi college of education,,,,
31275,nalbari law college,,,,
31276,vidyalatha degree college of commerce & business management karimnagar,,,,
31277,kle societys institute of nursing sciences,,,,
31278,narayani college of education for women,,,,
31279,aviram college of education for b.ed courses,,,,
31280,aditya degree college for women,,,,
31281,sri mahaveer memorial jain degree college,,,,
31282,shri chankya education societys indira college of engineering & technoloogy,,,,
31283,hasnath evening college,,,,
31284,c483 rajiv gandhi pg college,,,,
31285,sheth dosabhai lalchand law college,,,,
31286,panchayat college +3,,,,
31287,abhinav institute of management & technology,,,,
31288,c. n. kothari homeopathic medical college & research centre,,,,
31289,mar baselios college of nursing,,,,
31290,narasaraopeta engineering college,,,,
31291,"""jawaharlal institute of technology",,,,
31292,brahmarshi yogiraj devaraha baba sanskrit mahavidyalaya,,,,
31293,army a.d. college,,,,
31294,bharteeya shikshan sansthas bharteeya institute of computer technology,,,,
31295,aklia degree college,,,,
31296,govt. college devebhog,,,,
31297,vishwashanti gurukul teachers training academy,,,,
31298,bimr nursing college,,,,
31299,alard charitable trusts alard college of engineering & management,,,,
31300,bhagwan shikshan prasarak mandal's rashtramata indira gandhi arts,,,,
31301,pt. brijkishore pateria college malthone,,,,
31302,jai jawan s.p.m.'s college of b.b.a. & b.c.a.,,,,
31303,shri swami vivekanand shikshan,,,,
31304,bldea's bba college,,,,
31305,prakasam degree college,,,,
31306,shri shivshankar sanskrit mahavidyalaya,,,,
31307,salesian college,,,,
31308,shri ram college of engineering & management,,,,
31309,aldel education trusts st john institute of pharmacy at vevoor palghar tal palghar dist thane,,,,
31310,shri j g co-operative ayurvedic medical college,,,,
31311,samaldas arts college,,,,
31312,matushri kanbai lalbai & motibai lohana kanyashala & balikagrahs b.l. amlani college of commerce and economics & matushri manekbai ranchoddas nathavani college of arts plot bo.u/9 n.s.road no.6 jvpd scheme opp. joggers park vileparle,,,,
31313,mata ganga khalsa college for girls,,,,
31314,akilika herbal institute,,,,
31315,gandhi institute of biological sciences,,,,
31316,omar vaishya lala purushottam das college,,,,
31317,st. stephen's college,,,,
31318,sant pathik mahavidyalaya,,,,
31319,bir bikram memorial college,,,,
31320,chintamani b ed college,,,,
31321,mahaveer swami institute of technology,,,,
31322,shri. sevakbhau waghe patil college of agriculture,,,,
31323,malaram t.t. college,,,,
31324,devine international group of institutions,,,,
31325,b.t. college,,,,
31326,gramin balika pg mahavi.,,,,
31327,ravindra academy pg girls college,,,,
31328,acharya degree college,,,,
31329,idhayaam college of education,,,,
31330,kaling institute of management studies,,,,
31331,kumari vidyavati anand d.a.v. college for women,,,,
31332,pioneer arts & commerce college,,,,
31333,gramonnati mandals hari sahasrabuddhe information technology research and management institute,,,,
31334,a.s.degree college tugalli,,,,
31335,guru nanak dev college of education,,,,
31336,thiruvalluvar arts &science college,,,,
31337,sri bharathi women arts&science,,,,
31338,k.n.women's college,,,,
31339,rambhau lingade shikshan mahavidyalaya,,,,
31340,sri vidyabharathi pg college,,,,
31341,gordhandas jamnadas patel college of management & technology,,,,
31342,we care college of nursing,,,,
31343,st xaviers college,,,,
31344,ch. charan singh college of education & technology sadarpur,,,,
31345,lead college of management,,,,
31346,savitri institute of management,,,,
31347,north campus baramullah,,,,
31348,surajmal laxmi devi sawarthia educational trust,,,,
31349,mount tiyi college,,,,
31350,surajmal agarwal girls college of management,,,,
31351,aishwarya college of education,,,,
31352,alpine college of education saharanpur road,,,,
31353,smt rukmini devi shankarlal agarwal college of technology,,,,
31354,d.k.v. arts & science college,,,,
31355,rs college,,,,
31356,d.p. vipra college,,,,
31357,mohan lal memorial institute of education,,,,
31358,s. j. a.,,,,
31359,sonali education college,,,,
31360,tufunganj mahavidyalaya,,,,
31361,theni kammavar sangam college of education,,,,
31362,kamarbondha college p.o. kamarbondha-785625,,,,
31363,saraswat mahavidyalaya,,,,
31364,krishna college of education,,,,
31365,mother college of education,,,,
31366,bala ji college of law saurana,,,,
31367,trinity degree college jyothi nagar,,,,
31368,achariya college of engineering technology,,,,
31369,selaqui institute of engineering & technlogy,,,,
31370,bishop appasamy college of education,,,,
31371,mayo college of management,,,,
31372,jagdamba sharan singh educational institute,,,,
31373,jai shankar kripa mahavidyalaya,,,,
31374,victory college of education,,,,
31375,tagore pg mahavi.,,,,
31376,ahdp 39: m.d.m. animal husbandry college,,,,
31377,shri bavisgam education trust's college of education for women's,,,,
31378,sri venkateswara college of commerce tirupati urban,,,,
31379,nootana lalitakala mahavidyala,,,,
31380,n c t education,,,,
31381,madhav college of technology & management,,,,
31382,cas it institute of technology & management,,,,
31383,mata sahib kaur khalsa college of education,,,,
31384,shrinath mahavidhyalaya,,,,
31385,mahadev institute of technology,,,,
31386,mother theresa institute of computer applns,,,,
31387,pioneer institute,,,,
31388,netaji subhashschandra bose college,,,,
31389,doraha college of education,,,,
31390,ashtang ayurved mahavidyalaya,,,,
31391,ganna krishak mahavidyalaya,,,,
31392,rajmata jijau shikshan mandals b.c.s. science college,,,,
31393,govt. bilasa girls pg college,,,,
31394,satara college of engineering and management,,,,
31395,management and science institute of durgapur 274,,,,
31396,alpha institute of management,,,,
31397,k.d. college,,,,
31398,rajmata vijayaraje scindia krishi vishwa vidyalaya,,,,
31399,narayana hrudayalaya,,,,
31400,nopany institute of professional studies 222,,,,
31401,sri yadathore b ed college sri rama block k.r nagar,,,,
31402,s.n.a.college,,,,
31403,brindavan campus,,,,
31404,sant tukaram law college,,,,
31405,cornell institute of science & technology,,,,
31406,shri janki vallabh arts and shri m. s. patel commerce college,,,,
31407,ssbn college of education,,,,
31408,b264 govt first grade degree college,,,,
31409,shree dharmasthala manjunatheshwara college of education,,,,
31410,adeshwar nursing institute,,,,
31411,sri gyaneshwar maharaj commerce and science college,,,,
31412,dayavihar degree college,,,,
31413,sree chaitanya pg college,,,,
31414,unnati management college,,,,
31415,sri siddhartha centre for medi studies,,,,
31416,integrated school of education adhyatimk nagar,,,,
31417,rana hanuman singh arts,,,,
31418,c - dac,,,,
31419,baba saheeb ambedkar centunary degree college,,,,
31420,maruthi college of education,,,,
31421,tariq college of education,,,,
31422,college of engineering for women,,,,
31423,teegala krishna reddy engineering college,,,,
31424,213 babaria institute of pharmacy,,,,
31425,hmr institute of technology & management,,,,
31426,college of agricultural,,,,
31427,compucom institute of information technology & management,,,,
31428,dharmagyanopdesh sanskrit mahavidyalaya,,,,
31429,s.p.m.h. college of education,,,,
31430,coimbatore institute of management and technology,,,,
31431,ramanashree academy of mgmt.,,,,
31432,late shri vishnu waman thakur charitable trust architechture,,,,
31433,r r institute of technology,,,,
31434,om shanti vigyan college,,,,
31435,dr. hari shankar mishra mahavidyalaya,,,,
31436,shri laxminarayan sanskrit mahavidyalaya,,,,
31437,oriental school of hotel management,,,,
31438,kalawati girls mahavidyalaya,,,,
31439,shri girraj college of engineering and management,,,,
31440,sipajhar b.ed.,,,,
31441,grow more education college,,,,
31442,veer bahadur singh purvanchal university,,,,
31443,ananta sanskrit college,,,,
31444,rajendra institute of medical sciences,,,,
31445,dr. k.r.r.m. degree college,,,,
31446,karmaveer bhaurao patil college of engineering and polytechnic,,,,
31447,motiwala education & welfare trusts motiwala college of education,,,,
31448,people institute of management and research,,,,
31449,konkan education societys laxmi shalini college of arts,,,,
31450,lakshmibai national college of physical education,,,,
31451,pub majuli college p.o. majuli,,,,
31452,icl institute of architecture & town planning,,,,
31453,sibsagar college p.o. sibsagar-785665,,,,
31454,k.a college kashi ram nagar,,,,
31455,dr.rajabather-tagore womens teacher training college,,,,
31456,tiger chitrakala vidyalaya,,,,
31457,progressive educational societys modern college of engineering,,,,
31458,late. shankarrao gutte gramin arts,,,,
31459,st. george's college,,,,
31460,maa vidyadevi education college,,,,
31461,a.q.j. centre for p.g. studies,,,,
31462,m m m engineering college,,,,
31463,hope institute of bengal,,,,
31464,institute for media management & communication studies,,,,
31465,l.p.r.l.skt.college,,,,
31466,sunderdeep pharmacy college,,,,
31467,lala lajpat rai memorial college of education,,,,
31468,neelam tt college,,,,
31469,maharaja college poli dungra sonkh road mathura,,,,
31470,dr b c roy post graduate institute of peadiatric sciences,,,,
31471,cnb college,,,,
31472,maharashtra cosmopolitan education societys allana institute of management science,,,,
31473,shaheed udham singh college of nursing,,,,
31474,chegireddy linga reddy instt of management,,,,
31475,prs college of engineering and technology,,,,
31476,st. xavier college of education,,,,
31477,shri vivekanand nursing home trusts college of pharmacy,,,,
31478,m.p. shah medical college,,,,
31479,pune vidyarthee grihas college of engineering and technology,,,,
31480,delhi engineering college,,,,
31481,n.jha m. college lsarai,,,,
31482,suran college of nursing,,,,
31483,harda adarsh college,,,,
31484,arulmigu meenakshi amman college of engineering,,,,
31485,jiet school of management for girls,,,,
31486,bldea's sri b m patil college of nursing,,,,
31487,college of horticulture,,,,
31488,school of liberal studies,,,,
31489,shukdeo prasad tripathi mahavidyalaya,,,,
31490,goa college of hospitality and culinary education,,,,
31491,m.g. college of science,,,,
31492,sri rajarajeswari college of education,,,,
31493,smt.manoramabai bhimarao huilgol college of education croni road,,,,
31494,srr college of pharmaceutical sciences,,,,
31495,d.c.a.b. college,,,,
31496,bhagwan mahaveer college & research centre,,,,
31497,dukhulal nibaran chandra college,,,,
31498,balehonnur vidya samsthe first grade college,,,,
31499,chinmaya vidhyapeet,,,,
31500,san international business school,,,,
31501,chintalapudi engineering college,,,,
31502,s. d. patel b. ed. college,,,,
31503,sri sankara's degree college,,,,
31504,rangumudri degree college,,,,
31505,radharaman institute of technology & science,,,,
31506,maldah medical college,,,,
31507,dr. l.h. hiranandani hospital,,,,
31508,a. g. teachers college,,,,
31509,sri vedanarayana college of education,,,,
31510,malkhan singh mahavidhyalya,,,,
31511,sahakar education and social development societys basavajyoti science and commerce college,,,,
31512,cmr engineering college,,,,
31513,o p jindal institute of technology industrial park,,,,
31514,rama devi shiv mangal prasad mahavidyalaya,,,,
31515,kuvempu evening degree college,,,,
31516,om sri viswakarmaji mahavidyalaya,,,,
31517,n.r.i. college,,,,
31518,pune vidyarthi grihas research institute of graphic communication technology,,,,
31519,isbd first grade college,,,,
31520,siddaganga institute of technology,,,,
31521,b.n.m.v. college,,,,
31522,shah satnam ji institute of technology & managment,,,,
31523,amman t t college,,,,
31524,mother mary s institute of nursing,,,,
31525,brightways b.ed. college,,,,
31526,international centre for cardio theracicand vascular diseases,,,,
31527,goa vidyaprasarak mandal's dr. dada vaidya college of education,,,,
31528,bsss college,,,,
31529,c468 siddalingappa b deshmukh college of bca and bbm college,,,,
31530,dhenkanal college of computer sc. & management,,,,
31531,p.s.+3 mahavidyalaya,,,,
31532,sir issac newton college of education,,,,
31533,axis institute of planning and management,,,,
31534,late r.m.s.college of education,,,,
31535,soft plus ratlam,,,,
31536,rayat shikshan sansthas c.d.jain college of commerce,,,,
31537,diana college of nursing,,,,
31538,paramedical college,,,,
31539,genba sopanrao moze trusts genba sopanrao moze college of pharmacy,,,,
31540,maa nagesara devi mahila mahavidyalaya,,,,
31541,amerda vikas college of education,,,,
31542,navjivini institute of special eucation and research sular,,,,
31543,st gregrious college,,,,
31544,nshm knowledge campus,,,,
31545,sri varadaraja pg college,,,,
31546,indira gandhi medical college,,,,
31547,m m arts,,,,
31548,shri akhandvidhya aranyak gurukul b.ed. college,,,,
31549,universal business school,,,,
31550,m.l.c. computer korba,,,,
31551,bamundi mahavidyalaya,,,,
31552,nips computer centre allahabad,,,,
31553,m d college of education,,,,
31554,vidyawati balika mahavidyalaya,,,,
31555,navyug commerce college,,,,
31556,yadava college of education,,,,
31557,assam oil college of nursing,,,,
31558,college of medicine and sagar dutta hospital,,,,
31559,d.a.v. degree college budana,,,,
31560,swami vivekanand social work college,,,,
31561,rao bahaddur y mahabaleshwarappa engineering college,,,,
31562,s.v.j. degree college,,,,
31563,shivpati mahavidyalay shohratgarh,,,,
31564,birbal memoroal tt college,,,,
31565,ahmedabad institute of medical sciences,,,,
31566,surya college of busines & management,,,,
31567,national research centre for grapes,,,,
31568,sw. kripa shanker tiwari mahavidyalaya,,,,
31569,the r and d centre and laboratories of hico products ltd,,,,
31570,college of agri business management,,,,
31571,j.j.c. edu. commerce college -junagadh,,,,
31572,oriental education societys college of pharmacy sanpada navi mumbai,,,,
31573,govt science college,,,,
31574,sri ravi degree college,,,,
31575,s.n. college,,,,
31576,c.s.t.s. govt. kalasala,,,,
31577,vspm college of physiotherapy,,,,
31578,ppg institute of technology,,,,
31579,raje dharmrao arts commerce college,,,,
31580,marwar shikshak prashikshan mahavidyalaya,,,,
31581,b.d.s. gurukul of eudation sector-8,,,,
31582,vandemataram college ganesh chowk,,,,
31583,baba sahab dr. bhimrao ambedkar mahavidyalaya,,,,
31584,shri. dhabekar kala mahavidyalaya,,,,
31585,chirawa pg college,,,,
31586,maitreyi college,,,,
31587,swami vivekanand college of prof. studies,,,,
31588,vidyasagar educational institution's vidyasagar arts college,,,,
31589,late mohanlal verma education institute,,,,
31590,jaywant shikshan prasarak mandals imperial college of engineering and research,,,,
31591,mansha college of physical education kohaka,,,,
31592,janta degree college,,,,
31593,malolan college of arts and science,,,,
31594,aklavya prerna mahavidylaya,,,,
31595,dehli public academy,,,,
31596,svp b.ed. college,,,,
31597,b.d.m. kanya degree college,,,,
31598,svitm college,,,,
31599,v.h.j.mohavidyalaya,,,,
31600,sri vivekananda degree college,,,,
31601,s. r. college of science and technology,,,,
31602,shakthi college of paramedical science,,,,
31603,k.k.wagh education societys arts & commerce college,,,,
31604,shri mahaveer shikshak prashikshan mahavi.,,,,
31605,sachdeva instt. of education farah,,,,
31606,mndav dental college,,,,
31607,p d u hospital government college of nursing,,,,
31608,vishwanath pratap singh college of science and management,,,,
31609,sadhu vaswani institute of management studies for girls,,,,
31610,prakash vidya mandir mahila mahavidyalaya,,,,
31611,ctnt study centre mandi,,,,
31612,regional institute of paramedical and nursing sciences,,,,
31613,sadana degree college,,,,
31614,st. wilfred s institute of management & tech,,,,
31615,bagula mukhi college of technology,,,,
31616,sri venkateshwara college of nursing_peenya,,,,
31617,a.g i college of education,,,,
31618,gurukulam degree college,,,,
31619,jagannath veda karmakanda mohavidyalaya,,,,
31620,cnk reddy colleg of busienss mgt.,,,,
31621,govt. digree mahavidyalaya,,,,
31622,s.m.r. college of education,,,,
31623,haneefa kunju memorial college of education,,,,
31624,chandrika prasad mishra mahavidyalay,,,,
31625,bhaila degree college bhaila,,,,
31626,sri. gavisiddeswara college of education,,,,
31627,n.j.s. college,,,,
31628,govt. kangla manjhi college dondi,,,,
31629,scad institute of technology,,,,
31630,govt.shyama prasad mukharjee college,,,,
31631,s. b. garda arts college & p. k. patel college of commerce,,,,
31632,sri amar singh snatak mahavidyalaya,,,,
31633,balangir law college,,,,
31634,manjra charitable trusts college of law vashi navi mumbai,,,,
31635,akal college of education for women,,,,
31636,nilai educational trust's group of instituation,,,,
31637,siddartha educational academy group of institutions,,,,
31638,sinhagad college of education training and research,,,,
31639,elijah institute of management studies,,,,
31640,j.k.k nataraja college of arts & science,,,,
31641,c319 dr b r ambedkar college gulbarga,,,,
31642,shri ganesh college of education,,,,
31643,keyi sahib training college,,,,
31644,maharaja sris chandra college,,,,
31645,creative educational society's college of pharmacy,,,,
31646,acharya jawadekar shikshanshastra mahavidyalaya,,,,
31647,sarvajanik sanskrit pg college,,,,
31648,kmc speciality hospitals,,,,
31649,vaishali it and diploma education,,,,
31650,bhimthadi shikshan sansthas college of science & arts,,,,
31651,rama college of nursing,,,,
31652,svm college of education,,,,
31653,sri ram engineering college,,,,
31654,rajnagar mahavidyalaya,,,,
31655,the mothers degree college,,,,
31656,digvijay nath p. g. college,,,,
31657,kovai medical center and hospital limited,,,,
31658,vrandavan college of education ganesgpura,,,,
31659,dr.k.n.kataju law college,,,,
31660,m s engineering college,,,,
31661,sri siddhalingeshwara veda samskrita college,,,,
31662,b.h.b. college,,,,
31663,p. deendayal upadhyay rajkiya mahavidyalaya,,,,
31664,central india teachers college,,,,
31665,vishwasai college of nursing,,,,
31666,babu jangi singh degree college,,,,
31667,indus institute of engineering & technology,,,,
31668,madurai kamraj university,,,,
31669,prince dr. k. vasudevan college of engineering & technology,,,,
31670,computer point bhopal,,,,
31671,seth ganpat ram laxmi devi college,,,,
31672,govt. college for girls,,,,
31673,dr. m.g.r. engineering and college,,,,
31674,"""madhav institute of technology",,,,
31675,dhamdhama anchalik college,,,,
31676,govt. shaheed venkatrao college bijapur,,,,
31677,dhanwantri institute of pharmacy,,,,
31678,shri muktanand arts,,,,
31679,sri kalyan tt college,,,,
31680,chhatravir raje sambhaji prashaskiya sewa mahavidyalaya,,,,
31681,shriji institute of legal and vocational education & research,,,,
31682,shri hari om institute of science & technology,,,,
31683,mhaishal mahavidyalaya,,,,
31684,mahathi degree college,,,,
31685,nehru memorial college,,,,
31686,govt. agrasen college,,,,
31687,nef college,,,,
31688,technocrets institute of tech.,,,,
31689,mahakal institute of management,,,,
31690,swami brahmanand mahavidyalaya,,,,
31691,badri vishal p.g. college,,,,
31692,shri ramanand peeth sanskrit mahavidyalaya,,,,
31693,m.k. education societies group of institutions,,,,
31694,malineni lakshmaiah engineering college,,,,
31695,vivekanand college of technology & management,,,,
31696,anchalika degree college,,,,
31697,mumtaz degree college,,,,
31698,r.n.t. college of teachers & education,,,,
31699,chandraketugarh sahidullah smriti mahavidyalaya,,,,
31700,pgp college of engineering and technology,,,,
31701,srimad andavan arts & science college,,,,
31702,sanskar law college,,,,
31703,poddar international college,,,,
31704,buddha group of institutions,,,,
31705,i.t.s.m. college,,,,
31706,dr.n.t.r. degree college,,,,
31707,shri baba mast nath institute of management studies and research,,,,
31708,hooghly engineering and technology college 176,,,,
31709,shri goswami tulasi das sanskrit mahavidyalaya,,,,
31710,yadunath pal singh maha ahemadpur sirsaganj,,,,
31711,royal college of education,,,,
31712,mm engg. college,,,,
31713,mla academy of higher learning,,,,
31714,swami vivekanad institute of technology,,,,
31715,652 verdhman bharti trust technical institute of diploma studies,,,,
31716,iswar saran degree college,,,,
31717,jagadamba arts/sci college,,,,
31718,shyam manohar degree college,,,,
31719,s.v.v.s.s.devasthanam degree college,,,,
31720,chitrini women's college of library and information science,,,,
31721,vidya gram shikshak prashikshan mahavi.,,,,
31722,innovative institute of technology & management,,,,
31723,ideal academy of management sciences,,,,
31724,babu mohan lal arya smarak engg college,,,,
31725,bharathidasan university constituent arts & science college,,,,
31726,tirpude institute of management education,,,,
31727,netaji subhash engineering college 292,,,,
31728,jadid anjuman e talim societys arts,,,,
31729,gobardanga hindu b.ed college,,,,
31730,shri kanwartara institute for teachers training,,,,
31731,nayala college of education,,,,
31732,global institute of engineering & technology,,,,
31733,st. john college of nursing,,,,
31734,gem gates arts & science college,,,,
31735,sri harsha institute of pg studies,,,,
31736,rajkaushal vavasaik prashikshan sansthan,,,,
31737,sri ramakrishna college of engineering,,,,
31738,malik deenar institute of management studies,,,,
31739,shekhawati kanyamahavi.,,,,
31740,chalmeda ananda rao institute of medical sciences,,,,
31741,govt. lsgk college pohari,,,,
31742,gyayak sanskrit ug & tt college,,,,
31743,unique academy,,,,
31744,bakson homeopathic college,,,,
31745,nirma university,,,,
31746,acharya patashala college of commerce,,,,
31747,maharishi dayanand college of education,,,,
31748,kunwar singh college,,,,
31749,vashista degree college,,,,
31750,govindrao wajurkar arts commerce college,,,,
31751,pratibha degree college,,,,
31752,sarvoday mahavidyalaya,,,,
31753,banabhumi college,,,,
31754,j.r.kimti girls college,,,,
31755,baba ganesh dutt mahavidyalaya,,,,
31756,baba nand lal mahila mahavidyalaya,,,,
31757,international institute of business studies,,,,
31758,s.r.i. college of engineering & technology,,,,
31759,rayalaseema institute of management and information science,,,,
31760,p.k.s.s.college,,,,
31761,m.d. law college,,,,
31762,t.b.d.s. college,,,,
31763,bhandarkar oriental research institute,,,,
31764,v m k degree college,,,,
31765,lal vijyanand mahavidyalaya,,,,
31766,shri sainath college,,,,
31767,darul huda arts & science college,,,,
31768,midnapore college,,,,
31769,chettinad college of arts & science,,,,
31770,stet college of education for women,,,,
31771,sjbvs shri s s meti b.ed college,,,,
31772,shaurya edu. inst.,,,,
31773,netaji institute of professional studies rohtak,,,,
31774,st.annes college of education for women,,,,
31775,pt.manish sharma mahavidhyalaya kotli baghichi deveri road agra,,,,
31776,sri karpaga vinayagar college of education,,,,
31777,ch.charan singh chaharvati college akola,,,,
31778,k v ramana memorial degree college,,,,
31779,arunachala college of education,,,,
31780,rajdhani engineering college,,,,
31781,baba ramdal surajdev smarak mahavidyalaya,,,,
31782,subansiri college p.o. pathalipam,,,,
31783,kvm nursing college,,,,
31784,guru ram dass b.ed college,,,,
31785,karpagam college of engineering,,,,
31786,shri badrinath rajkiya sanskrit mahavidyalaya,,,,
31787,gyani inder singh institute of professional sudies,,,,
31788,mona college of engineering & technology,,,,
31789,govt. art.,,,,
31790,roorkee college of pharmacy,,,,
31791,maruti girls college,,,,
31792,s p m s education college,,,,
31793,a.s.college for women,,,,
31794,idhaya engineering college for women,,,,
31795,school of interior design,,,,
31796,shri gujarati samaj b.ed. college,,,,
31797,shri gurudatta shikshan sansthas ajitdada pawar college of education,,,,
31798,kapol vidyanidhi trusts kopal vidyanidhi college of hotel management at adijacent to poisar gymkhana kamala vihar sports club lane mahavir nagar kandivali,,,,
31799,bapurao deshmukh engineering college,,,,
31800,miracle educational society group of institutions,,,,
31801,k.c college of engg. and information technology,,,,
31802,b.m. memorial mahavidyalaya,,,,
31803,cgc group of colleges,,,,
31804,swami krishnanand college,,,,
31805,ojaswani girls college,,,,
31806,oriental college of management,,,,
31807,apex inst. of mgt. sc.,,,,
31808,shriram mahavidyalaya,,,,
31809,sharp computer centre tikamgarh,,,,
31810,n.r.i. institute of diploma pharmacy,,,,
31811,gokul college of pharmacy,,,,
31812,govt. first grade college,,,,
31813,indira institute of management,,,,
31814,vidyavardhinis college of engineering and technology vidyavardhinis college campus vasai road,,,,
31815,adichunchanagiri institute of business management,,,,
31816,dr b r ambedkar pooja college of pharmacy,,,,
31817,bharathesh homoeopathic medical college & hospital,,,,
31818,sawai madhopur college of engineering and technology,,,,
31819,newton's institute of engineering,,,,
31820,r v college of physiotherapy,,,,
31821,sai spurthy institute of technology,,,,
31822,margdarshan sansthan agriculture college,,,,
31823,maharani arts and science women's college,,,,
31824,govt.first grade college,,,,
31825,dr. k. c. patel research & development centre,,,,
31826,muktajivan swamibapa mahila arts & commerce college,,,,
31827,b.g degree college,,,,
31828,konkan muslim education societys college of education,,,,
31829,institute of business management and research 298,,,,
31830,cmr law school,,,,
31831,mahatma jyotiba phule mahavidyalaya,,,,
31832,adarsh institute of commerce & technology,,,,
31833,sree ratna college of physiotherapy,,,,
31834,mangaon panchkroshi shikshan prasarak mandals college of arts shri shetra mangaon tal kudal dist sindhudurg,,,,
31835,akhilbhagya mahavidyalaya ranapar,,,,
31836,bharathidasan university constituent college,,,,
31837,vivekananda's institute of engineering & technology,,,,
31838,shri ramdeshik gyaanpeeth,,,,
31839,shri sai b.c.a. college,,,,
31840,kks b.s.w.college,,,,
31841,rajendra muni teachers training college,,,,
31842,malabar college of engg & tech.,,,,
31843,sri sai triveni pg college suryapet,,,,
31844,sri aurobindo institute of pharmacy,,,,
31845,mahatma gandhi memorial research centre,,,,
31846,nutan kala sangeet mahavidyalaya,,,,
31847,sir crr college for women,,,,
31848,shivayogishwara lalitakala mahavidyalaya,,,,
31849,mothers business school,,,,
31850,deshbhakta ratnappa kumbhar college of commerce,,,,
31851,guru gobind singh institute of technology & management studies,,,,
31852,r.k.d.f. school of engineering,,,,
31853,kai. rajaram marathe college of agriculture,,,,
31854,sri gangadhar maithani govt. degree college,,,,
